QID,QUESTION,CORRECT ANSWER,A,B,C,D,E,F,EXPLANATION/NOTES,Snowflake Documentation,Image URL,Topic(s)
70,Where would a Snowflake user find information about query activity from 90 days ago?,A,account_ usage. query history view,account_ usage.query_history_archive View,information_schema. cruery_history view,information_ schema - query history_by_session view,,,**Concept included in test from Sept 2024,https://docs.snowflake.com/en/sql-reference/account-usage/query_history,,Data Transformations
71,Which of the following Snowflake capabilities are available in all Snowflake editions? (Choose two.),"B,D",Customer-managed encryption keys through Tri-Secret Secure,Automatic encryption of all data,Up to 90 days of data recovery through Time Travel,Object-level access control,Column-level security to apply data masking policies to tables and views,,"Customer-managed encryption keys through Tri-Secret Secure = Business Critical+ editions\n
Automatic encryption of all data = All editions\n
Up to 90 days of data recovery through Time Travel = Enterprise+ editions\n
Object-level access control = All editions\n
Column-level security to apply data masking policies to tables and views = Enterprise+ editions\n
**Concept included in test from Sept 2024","https://docs.snowflake.com/en/user-guide/intro-editions, https://docs.snowflake.com/en/user-guide/intro-editions#security-governance-data-protection",,"Snowflake AI Data Cloud Features and Architecture, Data Protection and Data Sharing"
72,What is the minimum Snowflake edition required to create a materialized view?,B,Standard Edition,Enterprise Edition,Business Critical Edition,Virtual Private Snowflake Edition,,,**Concept included in test from Sept 2024,https://docs.snowflake.com/en/user-guide/intro-editions,,Snowflake AI Data Cloud Features and Architecture
73,The Information Schema and Account Usage Share provide storage information for which of the following objects? (Choose three.),"B,C,D",Users,Tables,Databases,Internal Stages,,,**Concept included in test from Sept 2024,"https://docs.snowflake.com/en/sql-reference/info-schema, https://docs.snowflake.com/en/sql-reference/account-usage",,Data Transformations
74,Which stage type can be altered and dropped?,B,Database stage,External stage,Table stage,User stage,,,User and Table stages are created automatically for each User/Table and cannot be altered or dropped; only named stages (internal or external) can be dropped.,"https://docs.snowflake.com/en/sql-reference/sql/drop-stage, https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage",,"Data Transformations, Data Loading and Unloading"
75,"A user is loading JSON documents composed of a huge array containing multiple records into Snowflake. The user enables the strip_outer _array file format option. 

What does the STRIP_OUTER_ARRAY file format do?",B,It removes the last element of the outer array.,"It removes the outer array structure and loads the records into separate table rows,",It removes the trailing spaces in the last element of the outer array and loads the records into separate table columns,It removes the NULL elements from the JSON object eliminating invalid data and enables the ability to load the records,,,,https://docs.snowflake.com/en/user-guide/semistructured-considerations,,Data Loading and Unloading
76,Which of the following Snowflake features provide continuous data protection automatically? (Choose two.),"C,E",Internal stages,Incremental backups,Time Travel,Zero-copy clones,Fail-safe,,**Concept included in test from Sept 2024,"https://docs.snowflake.com/en/user-guide/data-availability, https://docs.snowflake.com/en/user-guide/data-cdp",,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
77,During periods of warehouse contention which parameter controls the maximum length of time a warehouse will hold a query for processing?,B,STATEMENT_TIMEOUT_IN_SECONDS,STATEMENT_QUEUED_TIMEOUT_IN_SECONDS,MAX_CONCURRENCY_LEVEL,QUERY_TIMEOUT_IN_SECONDS,,,"Parameter setting is In seconds\n
Default is 0 (= no queueing timeout)\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/performance-query-warehouse-max-concurrency,,Performance Concepts
78,"True or False: 
Fail-safe can be disabled within a Snowflake account.",B,TRUE,FALSE,,,,,"Regular tables: 7 days failsafe\n
External- + Temporary- + Transient-Tables: 0 days (0 no failsafe!)\n
Not possible to make any changes to failsafe settings",https://docs.snowflake.com/en/user-guide/data-failsafe,,Data Protection and Data Sharing
79,Which of the following describes external functions in Snowflake?,A,They are a type of User-defined Function (UDF).,They contain their own SQL code.,They call code that is stored inside of Snowflake.,They can return multiple rows for each row received,,,"External functions must be scalar functions. A scalar external function returns a single value for each input row.\n
External functions call code that is stored and executed outside Snowflake\n
Snowflake stores security-related external function information in an API integration\n
An external function is a type of UDF. Unlike other UDFs, an external function does not contain its own code; instead, the external function calls code that is stored and executed outside Snowflake",https://docs.snowflake.com/en/sql-reference/external-functions-introduction,,Data Transformations
80,Which data types does Snowflake support when querying semi-structured data? (Choose two.),"A,B",VARIANT,ARRAY,VARCHAR,XML,BLOB,,Variant - Array - Object,"https://docs.snowflake.com/en/user-guide/querying-semistructured, https://docs.snowflake.com/en/sql-reference/data-types-semistructured",,"Performance Concepts, Data Transformations"
81,What is the default character set used when loading CSV files into Snowflake?,A,UTF-8,UTF-16,ISO S859-1,ANSI_X3.A,,,"For delimited files (CSV, TSV, etc.), the default character set is UTF-8.","https://docs.snowflake.com/en/sql-reference/sql/copy-into-table, https://docs.snowflake.com/en/user-guide/intro-summary-loading",,"Data Transformations, Data Loading and Unloading"
82,What are two ways to create and manage Data Shares in Snowflake? (Choose two.),"A,C",Via the Snowflake Web Interface (UI),Via the data_share=true parameter,Via SQL commands,Via Virtual Warehouses,,,,https://docs.snowflake.com/en/user-guide/data-sharing-provider#creating-a-share,,Data Protection and Data Sharing
83,A marketing co-worker has requested the ability to change a warehouse size on their medium virtual warehouse called MKTG_WH. Which of the following statements will accommodate this request?,C,ALLOW RESIZE ON WAREHOUSE MKTG_WH TO USER MKTG_LEAD;,GRANT MODIFY ON WAREHOUSE MKTG_WH TO USER MKTG_LEAD;,GRANT MODIFY ON WAREHOUSE MKTG_WH TO ROLE MARKETING;,GRANT OPERATE ON WAREHOUSE MKTG_WH TO ROLE MARKET;,,,"Virtual Warehouse privileges:\n
-USAGE - user can run queries on VWH\n
-MONITOR - stats about the VWH can be viewed\n
-MODIFY - Size of VWH can be changed\n
-OPERATE - VWH can be suspended or resumed\n
-OWNERSHIP - All\n
-ALL - All privileges, except Ownership","https://docs.snowflake.com/en/sql-reference/sql/grant-privilege, https://docs.snowflake.com/en/user-guide/security-access-control-privileges#virtual-warehouse-privileges",,"Data Transformations, Account Access and Security"
84,"True or False: 
A Virtual Warehouse can be resized while suspended.",A,TRUE,FALSE,,,,,,https://docs.snowflake.com/en/user-guide/warehouses-tasks#resizing-a-warehouse,,Performance Concepts
85,"When reviewing the load for a warehouse using the load monitoring chart, the chart indicates that a high volume of Queries are always queuing in the warehouse. 

According to recommended best practice, what should be done to reduce the Queue volume? (Choose two.)","A,D",Use multi-clustered warehousing to scale out warehouse capacity.,Scale up the warehouse size to allow Queries to execute faster.,Stop and start the warehouse to clear the queued queries,Migrate some queries to a new warehouse to reduce load,Limit user access to the warehouse so fewer queries are run against it.,,"Scale Out for concurrency (use of multi-cluster Warehouses) - reduce queueing\n
Split workload over different, independent warehouses to reduce queueing",https://docs.snowflake.com/en/user-guide/performance-query-warehouse-queue#options-for-reducing-queues,,Performance Concepts
